Lean_File,Route_Category,Primary_Purpose,Estimated_Declarations,Verification_Status,Mathematical_Area
BCFLogTaperH15ResolvedTraceLedger.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperMSTTPolynomialPhase.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperMellin.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Transform theory,1-3,✓ Lean-verified,Analytic transforms
BCFLogTaperPairedContour.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Complex analysis,1-3,✓ Lean-verified,General
BCFLogTaperRationalSineEndpoint.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,Trigonometric functions
BCFLogTaperRouteCAbelBoundary.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperRouteCAbelCentralConstructor.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperRouteCAbelComplexDamping.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperRouteCAbelContourLimit.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Complex analysis,1-3,✓ Lean-verified,General
BCFLogTaperRouteCAbelFinitePart.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperRouteCAbelHorizontal.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperRouteCAbelHurwitzGrowth.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperRouteCAbelHurwitzPLGrowth.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperRouteCAbelHurwitzStrip.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperRouteCAbelMellin.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Transform theory,1-3,✓ Lean-verified,Analytic transforms
BCFLogTaperRouteCAbelPhase4.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperRouteCAbelReciprocalRay.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperRouteCAbelReflectionWeight.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperRouteCAbelRightLine.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperRouteCAbelTwoPole.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperRouteCAdaptiveTransfer.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Proof connection,1-3,✓ Lean-verified,General
BCFLogTaperRouteCAsmRHStrengthLowModeDecay.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperRouteCBesselCoefficient.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperRouteCCentralLipschitz.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperRouteCCentralOnlyAssembly.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperRouteCCentralReciprocity.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperRouteCCentralTaylorRow.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperRouteCClassicalAssembly.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperRouteCComplexAbelHorizontal.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperRouteCComplexAbelLeftLine.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperRouteCComplexAbelTwoPole.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperRouteCComplexEstermannMellin.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Transform theory,1-3,✓ Lean-verified,Analytic transforms
BCFLogTaperRouteCComplexInverseMellin.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Transform theory,1-3,✓ Lean-verified,Analytic transforms
BCFLogTaperRouteCCoupledFinitePart.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperRouteCFiniteAbelEvaluation.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperRouteCFiniteAnalyticPatch.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperRouteCGammaHalfLines.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperRouteCGammaShiftedLines.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperRouteCLambertMellinIdentification.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Transform theory,1-3,✓ Lean-verified,Analytic transforms
BCFLogTaperRouteCLambertPeriod.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperRouteCLambertPhaseEvaluation.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperRouteCLipschitzReduction.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperRouteCLocalPeriodTransfer.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Proof connection,1-3,✓ Lean-verified,General
BCFLogTaperRouteCLowModeReduction.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperRouteCMeanAudit.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Verification/Checking,1-3,✓ Lean-verified,General
BCFLogTaperRouteCPeriodDescent.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperRouteCPeriodDiagonal.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperRouteCPeriodFinitePart.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperRouteCPeriodRealization.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperRouteCPhase4ClassicalTail.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperRouteCPhase4RootTail.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperRouteCPrimitiveTransfer.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Proof connection,1-3,✓ Lean-verified,General
BCFLogTaperRouteCPsiZero.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,Riemann ζ-function
BCFLogTaperRouteCPsiZeroContinuity.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,Riemann ζ-function
BCFLogTaperRouteCPsiZeroHolomorphic.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,Riemann ζ-function
BCFLogTaperRouteCPsiZeroLocalMajorant.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,Riemann ζ-function
BCFLogTaperRouteCPsiZeroVerticalMajorant.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,Riemann ζ-function
BCFLogTaperRouteCReciprocalContour.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Complex analysis,1-3,✓ Lean-verified,General
BCFLogTaperRouteCReciprocityPassage.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperRouteCRootAsymptotic.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,Asymptotics
BCFLogTaperRouteCRootAsymptoticExtraction.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,Asymptotics
BCFLogTaperRouteCSaddleCentralWindow.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperRouteCSaddleCoefficientFar.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperRouteCSaddleFarEntropy.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperRouteCSaddleFarGamma.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperRouteCSaddleFarLimit.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperRouteCSaddleFarOptimization.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperRouteCSaddleFixedAlpha.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperRouteCSaddleIntegrability.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperRouteCSaddleIntegral.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperRouteCSaddleNearLimit.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperRouteCSaddleNearPointwise.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperRouteCSaddleNearRescaling.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperRouteCSaddleRootAbsorption.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperRouteCSaddleWeightedFar.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperRouteCTaylorAnalytic.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperRouteCTaylorBaseCoefficient.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperRouteCTaylorCanonicalStrip.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperRouteCTaylorCoefficientCollection.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperRouteCTaylorCoefficientIdentification.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperRouteCTaylorCoefficientUniqueness.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperRouteCTaylorDerivativeBridge.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Proof connection,1-3,✓ Lean-verified,General
BCFLogTaperRouteCTaylorElementaryTransfer.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Proof connection,1-3,✓ Lean-verified,General
BCFLogTaperRouteCTaylorEvenRemovability.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperRouteCTaylorFEFactor.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperRouteCTaylorFinitePoleGeometry.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperRouteCTaylorFiniteRemainder.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperRouteCTaylorFiniteTransferSeries.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Proof connection,1-3,✓ Lean-verified,General
BCFLogTaperRouteCTaylorGeneralCoefficient.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperRouteCTaylorHorizontalDecay.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperRouteCTaylorHorizontalReflection.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperRouteCTaylorInfiniteRectangle.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperRouteCTaylorLineMajorant.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperRouteCTaylorLocalSubtraction.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperRouteCTaylorMultiResidueRectangle.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperRouteCTaylorRemainderOrder.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperRouteCTaylorResidues.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperRouteCTaylorThreeTermTransfer.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Proof connection,1-3,✓ Lean-verified,General
BCFLogTaperRouteCTaylorTransferredRemainder.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Proof connection,1-3,✓ Lean-verified,General
BCFLogTaperRouteCThreeTermDefect.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperRouteCTransformTail.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperRouteCUniformCentralWindow.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperSpectral.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperSpectralWP1ExactExpression.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperSpectralWP2ModeDecomposition.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperSpectralWP3HighModeTail.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperSpectralWP4LowModeAudit.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Verification/Checking,1-3,✓ Lean-verified,General
BCFLogTaperSpectralWP5CoefficientLocalization.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperSpectralWP6CaseA.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperSpectralWP6CaseB.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperSpectralWP6CaseC.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperSpectralWP6Integration.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Complex analysis,1-3,✓ Lean-verified,General
BCFLogTaperSpectralWP6SignedCancellation.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFLogTaperSpectralWP7Assembly.lean,Bettin-Conrey-Farmer (BCF) Log-Taper,Theoretical foundation,1-3,✓ Lean-verified,General
BCFQuadraticTaper.lean,Supporting Theory,Theoretical foundation,1-3,✓ Lean-verified,General
BCFQuadraticTaperTransfer.lean,Supporting Theory,Proof connection,1-3,✓ Lean-verified,General
BaezDuarte.lean,Supporting Theory,Theoretical foundation,1-3,✓ Lean-verified,General
BaezDuarteTail.lean,Supporting Theory,Theoretical foundation,1-3,✓ Lean-verified,General
Basic.lean,Supporting Theory,Theoretical foundation,1-3,✓ Lean-verified,General
BridgeLemmas.lean,Supporting Theory,Proof connection,1-3,✓ Lean-verified,General
CanonicalProductFinite.lean,Supporting Theory,Theoretical foundation,1-3,✓ Lean-verified,General
ChiRhoBoundsN10.lean,Supporting Theory,Asymptotic bounds,1-3,✓ Lean-verified,Asymptotics
ChiRhoBoundsN20.lean,Supporting Theory,Asymptotic bounds,1-3,✓ Lean-verified,Asymptotics
ChiRhoBoundsN50.lean,Supporting Theory,Asymptotic bounds,1-3,✓ Lean-verified,Asymptotics
ChiRhoIntegralEvaluation.lean,Supporting Theory,Theoretical foundation,1-3,✓ Lean-verified,General
CoefficientFamilies.lean,Supporting Theory,Theoretical foundation,1-3,✓ Lean-verified,General
ConnesTrace.lean,Supporting Theory,Theoretical foundation,1-3,✓ Lean-verified,General
ContourShift.lean,Supporting Theory,Complex analysis,1-3,✓ Lean-verified,General
CotangentBoundsCore.lean,Trigonometric Bounds,Asymptotic bounds,1-3,✓ Lean-verified,Trigonometric functions
CotangentBoundsK10.lean,Trigonometric Bounds,Asymptotic bounds,1-3,✓ Lean-verified,Trigonometric functions
CotangentBoundsK10_Part1.lean,Trigonometric Bounds,Asymptotic bounds,1-3,✓ Lean-verified,Trigonometric functions
CotangentBoundsK10_Part2.lean,Trigonometric Bounds,Asymptotic bounds,1-3,✓ Lean-verified,Trigonometric functions
CotangentBoundsK10_Part3.lean,Trigonometric Bounds,Asymptotic bounds,1-3,✓ Lean-verified,Trigonometric functions
CotangentBoundsK11_12.lean,Trigonometric Bounds,Asymptotic bounds,1-3,✓ Lean-verified,Trigonometric functions
CotangentBoundsK13_15.lean,Trigonometric Bounds,Asymptotic bounds,1-3,✓ Lean-verified,Trigonometric functions
CotangentBoundsK16_18.lean,Trigonometric Bounds,Asymptotic bounds,1-3,✓ Lean-verified,Trigonometric functions
CotangentBoundsK19_20.lean,Trigonometric Bounds,Asymptotic bounds,1-3,✓ Lean-verified,Trigonometric functions
CotangentBoundsK21.lean,Trigonometric Bounds,Asymptotic bounds,1-3,✓ Lean-verified,Trigonometric functions
CotangentBoundsK22.lean,Trigonometric Bounds,Asymptotic bounds,1-3,✓ Lean-verified,Trigonometric functions
CotangentBoundsK23.lean,Trigonometric Bounds,Asymptotic bounds,1-3,✓ Lean-verified,Trigonometric functions
CotangentBoundsK24.lean,Trigonometric Bounds,Asymptotic bounds,1-3,✓ Lean-verified,Trigonometric functions
CotangentBoundsK25.lean,Trigonometric Bounds,Asymptotic bounds,1-3,✓ Lean-verified,Trigonometric functions
CotangentBoundsK26.lean,Trigonometric Bounds,Asymptotic bounds,1-3,✓ Lean-verified,Trigonometric functions
CotangentBoundsK27.lean,Trigonometric Bounds,Asymptotic bounds,1-3,✓ Lean-verified,Trigonometric functions
CotangentBoundsK28.lean,Trigonometric Bounds,Asymptotic bounds,1-3,✓ Lean-verified,Trigonometric functions
CotangentBoundsK29.lean,Trigonometric Bounds,Asymptotic bounds,1-3,✓ Lean-verified,Trigonometric functions
CotangentBoundsK30.lean,Trigonometric Bounds,Asymptotic bounds,1-3,✓ Lean-verified,Trigonometric functions
CotangentBoundsK31.lean,Trigonometric Bounds,Asymptotic bounds,1-3,✓ Lean-verified,Trigonometric functions
CotangentBoundsK32.lean,Trigonometric Bounds,Asymptotic bounds,1-3,✓ Lean-verified,Trigonometric functions
CotangentBoundsK33.lean,Trigonometric Bounds,Asymptotic bounds,1-3,✓ Lean-verified,Trigonometric functions
CotangentBoundsK34.lean,Trigonometric Bounds,Asymptotic bounds,1-3,✓ Lean-verified,Trigonometric functions
CotangentBoundsK35.lean,Trigonometric Bounds,Asymptotic bounds,1-3,✓ Lean-verified,Trigonometric functions
CotangentBoundsK36.lean,Trigonometric Bounds,Asymptotic bounds,1-3,✓ Lean-verified,Trigonometric functions
CotangentBoundsK37.lean,Trigonometric Bounds,Asymptotic bounds,1-3,✓ Lean-verified,Trigonometric functions
CotangentBoundsK38.lean,Trigonometric Bounds,Asymptotic bounds,1-3,✓ Lean-verified,Trigonometric functions
CotangentBoundsK39.lean,Trigonometric Bounds,Asymptotic bounds,1-3,✓ Lean-verified,Trigonometric functions
CotangentBoundsK40.lean,Trigonometric Bounds,Asymptotic bounds,1-3,✓ Lean-verified,Trigonometric functions
CotangentBoundsK41.lean,Trigonometric Bounds,Asymptotic bounds,1-3,✓ Lean-verified,Trigonometric functions
CotangentBoundsK42.lean,Trigonometric Bounds,Asymptotic bounds,1-3,✓ Lean-verified,Trigonometric functions
CotangentBoundsK43.lean,Trigonometric Bounds,Asymptotic bounds,1-3,✓ Lean-verified,Trigonometric functions
CotangentBoundsK44.lean,Trigonometric Bounds,Asymptotic bounds,1-3,✓ Lean-verified,Trigonometric functions
CotangentBoundsK45.lean,Trigonometric Bounds,Asymptotic bounds,1-3,✓ Lean-verified,Trigonometric functions
CotangentBoundsK46.lean,Trigonometric Bounds,Asymptotic bounds,1-3,✓ Lean-verified,Trigonometric functions
CotangentBoundsK47.lean,Trigonometric Bounds,Asymptotic bounds,1-3,✓ Lean-verified,Trigonometric functions
CotangentBoundsK48.lean,Trigonometric Bounds,Asymptotic bounds,1-3,✓ Lean-verified,Trigonometric functions
CotangentBoundsK49.lean,Trigonometric Bounds,Asymptotic bounds,1-3,✓ Lean-verified,Trigonometric functions
CotangentBoundsK50.lean,Trigonometric Bounds,Asymptotic bounds,1-3,✓ Lean-verified,Trigonometric functions
CriticalStrip.lean,Supporting Theory,Theoretical foundation,1-3,✓ Lean-verified,Riemann ζ-function
CutoffMobiusKernels.lean,Supporting Theory,Asymptotic bounds,1-3,✓ Lean-verified,Number theory
Definitions.lean,Supporting Theory,Theoretical foundation,1-3,✓ Lean-verified,General
DeletedDiskAssembly.lean,Supporting Theory,Theoretical foundation,1-3,✓ Lean-verified,General
EnergyResidueReduction.lean,Supporting Theory,Asymptotic bounds,1-3,✓ Lean-verified,Asymptotics
ExactCancellationTarget.lean,Supporting Theory,Theoretical foundation,1-3,✓ Lean-verified,General
FailedAttempts.lean,Supporting Theory,Theoretical foundation,1-3,✓ Lean-verified,General
FinalAnalyticAssembly.lean,Supporting Theory,Theoretical foundation,1-3,✓ Lean-verified,General
FinalAssembly.lean,Supporting Theory,Theoretical foundation,1-3,✓ Lean-verified,General
FiniteAxisSeparation.lean,Supporting Theory,Theoretical foundation,1-3,✓ Lean-verified,General
FiniteDeletedRectangle.lean,Supporting Theory,Theoretical foundation,1-3,✓ Lean-verified,General
FiniteDeletedRectangleAssembly.lean,Supporting Theory,Theoretical foundation,1-3,✓ Lean-verified,General
FiniteL2Expansion.lean,Supporting Theory,Theoretical foundation,1-3,✓ Lean-verified,General
G11Formula.lean,Supporting Theory,Theoretical foundation,1-3,✓ Lean-verified,General
G11IntegralEvaluation.lean,Supporting Theory,Theoretical foundation,1-3,✓ Lean-verified,General
Generated.lean,Supporting Theory,Theoretical foundation,1-3,✓ Lean-verified,General
GenusOneMajorantReduction.lean,Supporting Theory,Theoretical foundation,1-3,✓ Lean-verified,General
GenusOneProduct.lean,Supporting Theory,Theoretical foundation,1-3,✓ Lean-verified,General
GramMatrices.lean,Supporting Theory,Numerical computation,1-3,✓ Lean-verified,General
H14BorelJensen.lean,Supporting Theory,Theoretical foundation,1-3,✓ Lean-verified,General
H14DvpChain.lean,Supporting Theory,Theoretical foundation,1-3,✓ Lean-verified,General
H14FEFactorBound.lean,Supporting Theory,Theoretical foundation,1-3,✓ Lean-verified,General
H14FEFactorPL.lean,Supporting Theory,Theoretical foundation,1-3,✓ Lean-verified,General
H14WeakEffectivePerron.lean,Supporting Theory,Theoretical foundation,1-3,✓ Lean-verified,General
H14ZeroFree.lean,Supporting Theory,Theoretical foundation,1-3,✓ Lean-verified,Riemann ζ-function
H14ZetaEM.lean,Zeta Function Theory,Theoretical foundation,1-3,✓ Lean-verified,Riemann ζ-function
H14ZetaFETransport.lean,Zeta Function Theory,Theoretical foundation,1-3,✓ Lean-verified,Riemann ζ-function
H15AveragedReciprocalPhase.lean,H15: Core Aggregate Estimate,Theoretical foundation,1-3,✓ Lean-verified,General
H15BBLSMainTerm.lean,H15: Core Aggregate Estimate,Theoretical foundation,1-3,✓ Lean-verified,General
H15CenteredAggregateEstimate.lean,H15: Core Aggregate Estimate,Theoretical foundation,1-3,✓ Lean-verified,General
H15CofinalEnergyTransfer.lean,H15: Core Aggregate Estimate,Asymptotic bounds,1-3,✓ Lean-verified,Asymptotics
H15ForwardSpine.lean,H15: Core Aggregate Estimate,Theoretical foundation,1-3,✓ Lean-verified,General
H15FractionalTail.lean,H15: Core Aggregate Estimate,Theoretical foundation,1-3,✓ Lean-verified,General
H15IntegratedCancellation.lean,H15: Core Aggregate Estimate,Theoretical foundation,1-3,✓ Lean-verified,General
H15MellinEnergy.lean,H15: Core Aggregate Estimate,Asymptotic bounds,1-3,✓ Lean-verified,Analytic transforms
H15MobiusCorrelationOpenProblem.lean,H15: Core Aggregate Estimate,Theoretical foundation,1-3,✓ Lean-verified,Number theory
H15MobiusSawtoothReduction.lean,H15: Core Aggregate Estimate,Theoretical foundation,1-3,✓ Lean-verified,Number theory
H15ResidueComponentBound.lean,H15: Core Aggregate Estimate,Theoretical foundation,1-3,✓ Lean-verified,General
H15RhoBDBaseDischarge.lean,H15: Core Aggregate Estimate,Theoretical foundation,1-3,✓ Lean-verified,General
H15RhoBDBaseIntegral.lean,H15: Core Aggregate Estimate,Theoretical foundation,1-3,✓ Lean-verified,General
H15RhoBDMellin.lean,H15: Core Aggregate Estimate,Transform theory,1-3,✓ Lean-verified,Analytic transforms
H15SawtoothAnalyticInterfaces.lean,H15: Core Aggregate Estimate,Theoretical foundation,1-3,✓ Lean-verified,General
H15SmoothComponentBound.lean,H15: Core Aggregate Estimate,Theoretical foundation,1-3,✓ Lean-verified,General
